group,names,scores,logfoldchanges,pvals,pvals_adj
Plasmablasts,ENSG00000211666,37.96842,284.09412,0.0,0.0
Plasmablasts,ENSG00000118363,37.942234,2.318689,0.0,0.0
Plasmablasts,ENSG00000068912,37.41591,2.5102286,2.154141588469945e-306,3.865088490867648e-304
Plasmablasts,ENSG00000131871,37.101612,2.35302,2.6462914137454887e-301,4.5785566978178647e-299
T-cells,ENSG00000198851,186.68935,7.6509724,0.0,0.0
T-cells,ENSG00000167286,170.17422,7.327534,0.0,0.0
T-cells,ENSG00000169442,169.17282,4.6022773,0.0,0.0
T-cells,ENSG00000121966,163.1522,6.7756333,0.0,0.0
T-cells,ENSG00000116824,163.01122,7.2811356,0.0,0.0
T-cells,ENSG00000081237,162.63002,3.6459022,0.0,0.0
T-cells,ENSG00000110848,161.81258,6.443993,0.0,0.0
T-cells,ENSG00000122862,150.92574,3.653347,0.0,0.0
T-cells,ENSG00000168685,145.42288,6.5237446,0.0,0.0
T-cells,ENSG00000173762,142.7991,7.2430844,0.0,0.0
T-cells,ENSG00000271503,137.8863,8.702817,0.0,0.0
T-cells,ENSG00000115165,136.28699,3.780216,0.0,0.0
T-cells,ENSG00000008517,135.12355,4.588185,0.0,0.0
T-cells,ENSG00000211772,126.343185,5.8235826,0.0,0.0
T-cells,ENSG00000147168,125.37425,3.6303508,0.0,0.0
T-cells,ENSG00000118503,124.890114,3.220334,0.0,0.0
T-cells,ENSG00000128340,123.840904,3.5692706,0.0,0.0
T-cells,ENSG00000102879,122.50244,3.582111,0.0,0.0
T-cells,ENSG00000158050,118.568085,3.3706164,0.0,0.0
T-cells,ENSG00000126264,113.8732,2.4189115,0.0,0.0
T-cells,ENSG00000182866,112.59217,5.507742,0.0,0.0
T-cells,ENSG00000102760,111.90064,4.3839655,0.0,0.0
T-cells,ENSG00000168421,111.64812,3.558382,0.0,0.0
T-cells,ENSG00000277734,110.40925,5.6781,0.0,0.0
T-cells,ENSG00000077984,110.37901,5.2457814,0.0,0.0
T-cells,ENSG00000090104,108.542564,2.2014377,0.0,0.0
T-cells,ENSG00000227507,105.7315,4.518164,0.0,0.0
T-cells,ENSG00000082074,102.3833,1.3496883,0.0,0.0
T-cells,ENSG00000160654,101.435486,6.264624,0.0,0.0
T-cells,ENSG00000211751,99.649185,6.758455,0.0,0.0
T-cells,ENSG00000104894,98.62641,1.2469844,0.0,0.0
T-cells,ENSG00000072818,98.32595,3.4240546,0.0,0.0
T-cells,ENSG00000133639,97.29709,5.443533,0.0,0.0
T-cells,ENSG00000162511,96.014946,-0.848633,0.0,0.0
T-cells,ENSG00000153283,94.12385,5.9338093,0.0,0.0
T-cells,ENSG00000105374,92.95605,7.2081075,0.0,0.0
T-cells,ENSG00000145649,91.34455,6.8888454,0.0,0.0
T-cells,ENSG00000155307,90.212814,2.868446,0.0,0.0
T-cells,ENSG00000157514,88.922554,3.6364875,0.0,0.0
T-cells,ENSG00000081320,88.65501,2.256114,0.0,0.0
T-cells,ENSG00000111348,87.87008,1.6381149,0.0,0.0
T-cells,ENSG00000213658,87.85163,4.591116,0.0,0.0
T-cells,ENSG00000107742,86.87788,3.7900314,0.0,0.0
T-cells,ENSG00000196154,84.63999,-1.9730486,0.0,0.0
T-cells,ENSG00000198821,84.59081,6.081637,0.0,0.0
T-cells,ENSG00000095794,82.88795,2.6375237,0.0,0.0
T-cells,ENSG00000101109,82.66518,1.8114345,0.0,0.0
T-cells,ENSG00000155926,81.82321,3.080026,0.0,0.0
T-cells,ENSG00000132965,81.78834,1.5044321,0.0,0.0
T-cells,ENSG00000117091,81.66936,1.9502149,0.0,0.0
