group,names,scores,logfoldchanges,pvals,pvals_adj
CAFs,ENSG00000204262,88.62703,10.992577,0.0,0.0
CAFs,ENSG00000107562,88.44455,8.048375,0.0,0.0
CAFs,ENSG00000123384,87.30384,5.72936,0.0,0.0
CAFs,ENSG00000115414,86.46371,27.943289,0.0,0.0
CAFs,ENSG00000154096,85.57964,9.381853,0.0,0.0
CAFs,ENSG00000163430,85.577866,7.0594025,0.0,0.0
CAFs,ENSG00000118523,82.93154,19.873919,0.0,0.0
CAFs,ENSG00000148180,81.54441,12.578664,0.0,0.0
CAFs,ENSG00000035862,81.48642,6.061886,0.0,0.0
CAFs,ENSG00000164932,80.81979,19.096958,0.0,0.0
CAFs,ENSG00000166741,80.653114,8.558438,0.0,0.0
CAFs,ENSG00000116774,80.538155,6.1844525,0.0,0.0
CAFs,ENSG00000142089,80.066414,14.443566,0.0,0.0
CAFs,ENSG00000214548,79.77197,8.774472,0.0,0.0
CAFs,ENSG00000133110,79.37008,24.992832,0.0,0.0
CAFs,ENSG00000152583,78.95377,4.6422462,0.0,0.0
CAFs,ENSG00000101335,78.2113,7.1725197,0.0,0.0
Cancer Epithelial,ENSG00000111057,199.74364,22.726976,0.0,0.0
Cancer Epithelial,ENSG00000170421,192.7196,14.364224,0.0,0.0
Cancer Epithelial,ENSG00000272398,189.67345,114.58405,0.0,0.0
Cancer Epithelial,ENSG00000171345,188.05354,43.336403,0.0,0.0
Cancer Epithelial,ENSG00000167642,187.20512,17.995087,0.0,0.0
Cancer Epithelial,ENSG00000215845,182.00772,10.685057,0.0,0.0
Cancer Epithelial,ENSG00000008394,178.23506,16.434013,0.0,0.0
Cancer Epithelial,ENSG00000125534,177.109,30.260439,0.0,0.0
Cancer Epithelial,ENSG00000112378,175.62764,12.153674,0.0,0.0
Cancer Epithelial,ENSG00000189143,171.88171,18.010693,0.0,0.0
Cancer Epithelial,ENSG00000163435,171.47966,16.110207,0.0,0.0
Cancer Epithelial,ENSG00000160862,170.48967,28.803293,0.0,0.0
Cancer Epithelial,ENSG00000125868,166.33359,11.32627,0.0,0.0
Cancer Epithelial,ENSG00000143742,166.1254,7.8435307,0.0,0.0
Cancer Epithelial,ENSG00000240972,165.64163,22.639475,0.0,0.0
Cancer Epithelial,ENSG00000106153,165.3011,20.463182,0.0,0.0
Cancer Epithelial,ENSG00000149925,165.12636,23.16302,0.0,0.0
Cancer Epithelial,ENSG00000089356,164.71252,12.694359,0.0,0.0
Cancer Epithelial,ENSG00000166347,162.96046,7.8840213,0.0,0.0
Cancer Epithelial,ENSG00000163041,162.70831,32.433113,0.0,0.0
Cancer Epithelial,ENSG00000135480,160.79424,16.801315,0.0,0.0
Cancer Epithelial,ENSG00000106537,159.79706,11.860398,0.0,0.0
Cancer Epithelial,ENSG00000164919,157.81506,34.827282,0.0,0.0
Cancer Epithelial,ENSG00000119888,156.27954,9.843753,0.0,0.0
Cancer Epithelial,ENSG00000164405,155.91382,9.811924,0.0,0.0
Cancer Epithelial,ENSG00000140264,155.81194,30.21157,0.0,0.0
Cancer Epithelial,ENSG00000103363,153.72192,9.026403,0.0,0.0
Cancer Epithelial,ENSG00000010278,153.38243,11.653773,0.0,0.0
Cancer Epithelial,ENSG00000167468,152.52036,13.807305,0.0,0.0
Cancer Epithelial,ENSG00000132698,151.93254,6.5455747,0.0,0.0
Cancer Epithelial,ENSG00000155368,151.68967,16.190386,0.0,0.0
Cancer Epithelial,ENSG00000165215,151.58621,11.389906,0.0,0.0
Cancer Epithelial,ENSG00000169738,149.91064,7.3055124,0.0,0.0
Cancer Epithelial,ENSG00000184292,149.8499,11.712164,0.0,0.0
Cancer Epithelial,ENSG00000079462,149.19885,6.371837,0.0,0.0
Cancer Epithelial,ENSG00000181885,148.74492,6.920455,0.0,0.0
Cancer Epithelial,ENSG00000141552,148.56459,9.048814,0.0,0.0
Cancer Epithelial,ENSG00000006625,148.17642,6.4526415,0.0,0.0
Cancer Epithelial,ENSG00000175130,147.4126,10.931702,0.0,0.0
Cancer Epithelial,ENSG00000103202,146.78659,6.0621324,0.0,0.0
Cancer Epithelial,ENSG00000074071,146.18776,5.857742,0.0,0.0
Cancer Epithelial,ENSG00000182004,145.75006,6.6028047,0.0,0.0
Cancer Epithelial,ENSG00000267795,145.4736,7.9412894,0.0,0.0
Cancer Epithelial,ENSG00000169689,145.44379,7.150011,0.0,0.0
Cancer Epithelial,ENSG00000100219,145.22728,20.51683,0.0,0.0
Cancer Epithelial,ENSG00000167815,144.73865,7.7713413,0.0,0.0
Cancer Epithelial,ENSG00000163191,144.6621,25.927996,0.0,0.0
Cancer Epithelial,ENSG00000189043,144.57237,12.492666,0.0,0.0
Cancer Epithelial,ENSG00000147684,144.33817,9.354425,0.0,0.0
Cancer Epithelial,ENSG00000145912,143.02722,6.1499276,0.0,0.0
Endothelial,ENSG00000131477,124.71647,16.141834,0.0,0.0
Endothelial,ENSG00000152583,122.446915,32.673233,0.0,0.0
Endothelial,ENSG00000130300,121.404686,20.202827,0.0,0.0
Endothelial,ENSG00000163453,119.63526,56.153957,0.0,0.0
Endothelial,ENSG00000261371,118.99225,11.219619,0.0,0.0
Endothelial,ENSG00000110799,118.59525,14.487573,0.0,0.0
Endothelial,ENSG00000127920,118.128494,11.259814,0.0,0.0
Endothelial,ENSG00000106991,114.66229,10.262263,0.0,0.0
Endothelial,ENSG00000175899,113.46844,12.154113,0.0,0.0
Endothelial,ENSG00000129538,113.099365,8.5282955,0.0,0.0
Endothelial,ENSG00000164035,112.024605,11.593426,0.0,0.0
Endothelial,ENSG00000240583,111.41416,14.376932,0.0,0.0
Endothelial,ENSG00000142798,111.22264,9.045518,0.0,0.0
Endothelial,ENSG00000172889,109.89425,9.466335,0.0,0.0
Endothelial,ENSG00000162618,109.840065,11.568942,0.0,0.0
Endothelial,ENSG00000176435,108.43302,11.688021,0.0,0.0
Endothelial,ENSG00000149564,108.25521,8.636629,0.0,0.0
Endothelial,ENSG00000165949,105.97483,19.664392,0.0,0.0
Endothelial,ENSG00000142089,105.92298,28.224222,0.0,0.0
