donor_id,celltype_major,Cell_Count,Fraction
CID4495,Plasmablasts,1020,0.12773951158422042
CID4495,T-cells,3504,0.4388227927363807
CID4513,B-cells,43,0.007652607225484962
CID4513,CAFs,13,0.0023135789286349885
CID4513,Cancer Epithelial,1058,0.18828973126890905
CID4513,Endothelial,162,0.028830752802989856
CID4513,Myeloid,2795,0.4974194696565225
CID4513,PVL,82,0.014593344011389927
CID4513,T-cells,1466,0.2609005161060687
CID4515,B-cells,494,0.1190648348999759
CID4515,CAFs,187,0.04507110147023379
CID4515,Cancer Epithelial,2169,0.5227765726681128
CID4515,Endothelial,122,0.02940467582550012
CID4515,Myeloid,563,0.1356953482766932
CID4515,Normal Epithelial,36,0.008676789587852495
CID4515,PVL,123,0.02964569775849602
CID4515,Plasmablasts,36,0.008676789587852495
CID4515,T-cells,419,0.1009881899252832
CID4523,CAFs,42,0.02394526795895097
CID4523,Cancer Epithelial,1167,0.6653363740022805
CID4523,Endothelial,3,0.0017103762827822121
CID4523,Myeloid,355,0.2023945267958951
CID4523,PVL,10,0.005701254275940707
CID4523,T-cells,177,0.10091220068415051
CID4530N,CAFs,368,0.0834656384667725
CID4530N,Cancer Epithelial,1715,0.38897709231118166
CID4530N,Endothelial,1016,0.2304377409843502
CID4530N,Myeloid,96,0.021773644817418916
CID4530N,Normal Epithelial,398,0.09026990247221592
CID4530N,PVL,469,0.10637332728509866
CID4530N,Plasmablasts,55,0.012474484009979588
CID4530N,T-cells,292,0.06622816965298253
CID4535,B-cells,56,0.014137843978793235
CID4535,CAFs,102,0.02575107296137339
CID4535,Cancer Epithelial,2223,0.5612219136581671
CID4535,Endothelial,219,0.0552890684170664
CID4535,Myeloid,255,0.06437768240343347
CID4535,Normal Epithelial,22,0.00555415299166877
CID4535,PVL,592,0.1494572077758142
CID4535,Plasmablasts,96,0.024236303963645543
CID4535,T-cells,396,0.09997475385003787
CID44041,B-cells,176,0.08259033317691225
CID44041,CAFs,681,0.31956827780384794
CID44041,Endothelial,148,0.06945096198967621
CID44041,Myeloid,105,0.04927264195213515
CID44041,Normal Epithelial,151,0.07085875175973722
CID44041,PVL,128,0.06006569685593618
CID44041,T-cells,742,0.34819333646175504
CID44971,B-cells,369,0.04620586025544703
CID44971,CAFs,582,0.07287753568745305
CID44971,Cancer Epithelial,894,0.11194590533433509
CID44971,Endothelial,217,0.027172551965940397
CID44971,Myeloid,684,0.08564988730277986
CID44971,Normal Epithelial,735,0.09203606311044328
CID44971,PVL,91,0.011394941147007263
CID44971,Plasmablasts,48,0.006010518407212622
CID44971,T-cells,4366,0.5467067367893814
CID44991,B-cells,88,0.012530257724619109
CID44991,CAFs,245,0.0348853766196782
CID44991,Cancer Epithelial,4018,0.5721201765627225
CID44991,Endothelial,41,0.005837960985333903
CID44991,Myeloid,206,0.02933219421899473
CID44991,Normal Epithelial,24,0.0034173430158052115
CID44991,PVL,46,0.006549907446959989
CID44991,Plasmablasts,1453,0.20689164174854052
CID44991,T-cells,902,0.12843514167734588
CID45171,B-cells,56,0.02288516550878627
CID45171,CAFs,32,0.013077237433592154
CID45171,Cancer Epithelial,813,0.33224356354720064
CID45171,Endothelial,15,0.006129955046996322
CID45171,Myeloid,172,0.07029015120555783
CID45171,PVL,13,0.0053126277073968125
CID45171,T-cells,1346,0.55006129955047
