Cell_Type,Cell_Count,Fraction
T-cells,35214,0.35191477454429165
Cancer Epithelial,24489,0.2447333706427886
Myeloid,9675,0.09668811960345379
Endothelial,7605,0.0760013591301567
CAFs,6573,0.06568795970578829
PVL,5423,0.05419531499840102
Normal Epithelial,4355,0.04352214582667093
Plasmablasts,3524,0.035217460825071954
B-cells,3206,0.03203949472337704
